"ROI.left.edge..ppm.","ROI.right.edge..ppm.","Quantification.Mode","Metabolite","Quantification.Signal","Chemical.shift.ppm.","Chemical.shift.tolerance..ppm.","Half.bandwidth..Hz.","Multiplicity","J.coupling..Hz.","Roof.effect","HMDB_code","pH","Instrument.strength","Solvent"
3.593,3.553,"Baseline Fitting","L-Threonine",2,3.573,0.02,1.4,2,5.99999999999987,0,"bmse000049",7.4,600,"h2o"
3.619,3.579,"Baseline Fitting","L-Valine",1,3.599,0.02,1.4,2,5.39999999999994,0,"bmse000052",7.4,600,"h2o"
3.677,3.637,"Baseline Fitting","L-Isoleucine",1,3.657,0.02,1.4,2,4.8,0,"bmse000041",7.4,600,"h2o"
3.739,3.699,"Baseline Fitting","L- Leucine",1,3.719,0.02,1.4,3,5.39999999999994,0,"bmse000042",7.4,600,"h2o"
3.765,3.725,"Baseline Fitting","L-Lysine",1,3.745,0.02,1.4,3,6.60000000000007,0,"bmse000043",7.4,600,"h2o"
3.767,3.727,"Baseline Fitting","L-glutamic acid",1,3.747,0.02,1.4,4,3.59999999999987,0,"bmse000037",7.4,600,"h2o"
3.784,3.744,"Baseline Fitting","L-Arginine",1,3.764,0.02,1.4,3,7.20000000000001,0,"bmse000029",7.4,600,"h2o"
3.784,3.744,"Baseline Fitting","Glutamine",1,3.764,0.02,1.4,3,9.00000000000007,0,"bmse000038",7.4,600,"h2o"
3.784,3.744,"Baseline Fitting","L-arginine",1,3.764,0.02,1.4,3,7.31999999999999,0,"bmse000711",7.4,600,"h2o"
3.791,3.751,"Baseline Fitting","L-Alanine",1,3.771,0.02,1.4,4,10.7999999999999,0,"bmse000028",7.4,600,"h2o"
3.848,3.808,"Baseline Fitting","L-Serine",2,3.828,0.02,1.4,4,1.7999999999998,0,"bmse000048",7.4,600,"h2o"
3.851,3.811,"Baseline Fitting","Serine",2,3.831,0.02,1.4,4,2.4,0,"bmse000222",7.4,600,"h2o"
3.87,3.83,"Baseline Fitting","L-Methionine",1,3.85,0.02,1.4,4,1.20000000000013,0,"bmse000044",7.4,600,"h2o"
3.909,3.869,"Baseline Fitting","L-Aspartate",1,3.889,0.02,1.4,4,5.39999999999994,0,"bmse000031",7.4,600,"h2o"
3.972,3.932,"Baseline Fitting","L-Serine",1,3.952,0.02,1.4,8,4.8,0,"bmse000048",7.4,600,"h2o"
3.975,3.935,"Baseline Fitting","Serine",1,3.955,0.02,1.4,8,3.60000000000014,0,"bmse000222",7.4,600,"h2o"
3.995,3.955,"Baseline Fitting","L-Phenylalanine",2,3.975,0.02,1.4,4,3.59999999999987,0,"bmse000045",7.4,600,"h2o"
4,3.96,"Baseline Fitting","L-Histidine",3,3.98,0.02,1.4,4,3.60000000000014,0,"bmse000039",7.4,600,"h2o"
4.011,3.971,"Baseline Fitting","L-Asparagine",1,3.991,0.02,1.4,4,4.79999999999974,0,"bmse000030",7.4,600,"h2o"
4.056,4.016,"Baseline Fitting","L-Tryptophan",5,4.036,0.02,1.4,4,3.60000000000014,0,"bmse000050",7.4,600,"h2o"
4.139,4.099,"Baseline Fitting","L-Proline",1,4.119,0.02,1.4,4,3.00000000000047,0,"bmse000047",7.4,600,"h2o"
4.261,4.221,"Baseline Fitting","L-Threonine",1,4.241,0.02,1.4,5,7.19999999999974,0,"bmse000049",7.4,600,"h2o"
7.086,7.046,"Baseline Fitting","L-Histidine",2,7.066,0.02,1.4,1,600,0,"bmse000039",7.4,600,"h2o"
7.21,7.17,"Baseline Fitting","L-Tryptophan",4,7.19,0.02,1.4,3,8.39999999999961,0,"bmse000050",7.4,600,"h2o"
7.301,7.261,"Baseline Fitting","L-Tryptophan",3,7.281,0.02,1.4,4,8.40000000000014,0,"bmse000050",7.4,600,"h2o"
7.389,7.349,"Baseline Fitting","L-Phenylalanine",1,7.369,0.02,1.4,8,8.40000000000014,0,"bmse000045",7.4,600,"h2o"
7.549,7.509,"Baseline Fitting","L-Tryptophan",2,7.529,0.02,1.4,2,9.00000000000034,0,"bmse000050",7.4,600,"h2o"
7.741,7.701,"Baseline Fitting","L-Tryptophan",1,7.721,0.02,1.4,2,9.60000000000001,0,"bmse000050",7.4,600,"h2o"
7.846,7.806,"Baseline Fitting","L-Histidine",1,7.826,0.02,1.4,1,600,0,"bmse000039",7.4,600,"h2o"
8.467,8.427,"Baseline Fitting","Formate",1,8.447,0.02,1.4,1,600,0,"bmse000203",7.4,600,"h2o"
