"","L.Isoleucine_6","L..Leucine_3","L.Valine_4","L.Isoleucine_5","L.Valine_3","L.Isoleucine_4","L.Threonine_3","L.Isoleucine_3","L.Lysine_5","L.Alanine_2","L.Arginine_4","L.arginine_4","L..Leucine_2","L.Lysine_4","L.Lysine_3","L.Arginine_3","L.arginine_3","L.Isoleucine_2","L.Proline_4","L.glutamic.acid_3","L.Methionine_4","Glutamine_3","L.Methionine_3","L.Valine_2","L.Proline_3","L.glutamic.acid_2","Glutamine_2","L.Methionine_2","L.Aspartate_3","L.Aspartate_2","L.Asparagine_2","L.Lysine_2","L.Phenylalanine_4","L.Histidine_5","L.Histidine_4","L.Arginine_2","L.arginine_2","L.Phenylalanine_3","L.Tryptophan_7","L.Tryptophan_8","L.Proline_2","L.Tryptophan_6","Glycine_1","L.Threonine_2","L.Valine_1","L.Isoleucine_1","L..Leucine_1","L.Lysine_1","L.glutamic.acid_1","L.Arginine_1","Glutamine_1","L.arginine_1","L.Alanine_1","L.Serine_2","Serine_2","L.Methionine_1","L.Aspartate_1","L.Serine_1","Serine_1","L.Phenylalanine_2","L.Histidine_3","L.Asparagine_1","L.Tryptophan_5","L.Proline_1","L.Threonine_1","L.Histidine_2","L.Tryptophan_4","L.Tryptophan_3","L.Phenylalanine_1","L.Tryptophan_2","L.Tryptophan_1","L.Histidine_1","Formate_1"
"AA_1x_a_20201209.17.fid.1",0.917558000190672,0.929184373165444,0,0,0,0,0,0,0,0,1.65902073251642,1.66245983564854,1.70036118932441,1.72440798301622,0,1.92650567891635,1.92731734865904,1.96836118932441,2.01262034652568,2.07736118932441,2.11320090608888,2.121875,2.20050567891635,2.2680875,2.33611428571429,2.319,2.43531293268129,0,2.71926455969543,2.79371318410191,2.8743578318283,0,0,0,3.24885877891415,3.24713669962925,3.2555413365559,3.27908439582329,3.2808045710972,3.286036318356,3.37871100794897,3.45646438009146,3.565,3.56128549547774,3.58664988723635,3.6697036615367,3.70786367262371,3.7588154386483,3.7542261656696,3.75111664675737,3.75559271603777,3.7658045598353,3.751,3.815275,3.84685,3.8515,3.9084,3.9551875,3.9551875,3.956325,3.97995134119294,3.97109626052319,4.030175,0,0,0,0,7.282075,7.3722125,7.54578710088556,7.71452038172451,7.82837682746866,8.45108971342425
"AA_1x_a_20201209.18.fid.2",0.909792749759933,0.955928847966361,0.967850062145725,1.00636012873485,1.0221171529547,1.2613006559629,1.29958348805206,1.44862034652568,1.47240874382667,1.45433455833063,1.66731293268129,1.67063493547589,1.71850567891635,1.72151309193484,1.90340798301622,1.89884549206682,1.9119718071036,1.9813006559629,2.00296935639158,2.0903006559629,2.11467314798717,2.12258994554421,2.18851309193484,2.26088495598547,2.3267646966856,2.319,2.45509496143833,2.6096825476407,2.7190370412093,2.79377596064401,2.8961125,3.02805991413748,3.09812534776784,3.11951511833063,3.21563236759137,3.21605543414089,3.22003328360654,3.27893014235314,3.28200438107222,3.28587683319361,3.37151309193484,3.45701468214823,3.53153537130617,3.55349751443698,3.6137554235881,3.64132749164445,3.7374456104997,3.75689991602899,3.74157089212917,3.7449371382865,3.74604657098582,3.76158542419272,3.76636484849187,3.84437118686305,3.84599162655173,3.86902800730144,3.87640735464298,3.9571625,3.93502073251642,3.99025762176855,3.99711757276209,4.011,4.01622214454142,4.12207521298832,4.25266,7.0733180069636,7.19909854328797,7.29974291400223,7.368075,7.51950285168417,7.73821810117368,7.82716336623258,8.45331741567742
"AA_1x_a_20201209.19.fid.3",0.940713563136203,0.940780634768299,0.970113137403457,0.985577963283659,1.0297759462131,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0407351523526,2.0903006559629,2.10381413915043,2.12290778149327,2.19571100794896,2.2652,2.32531293268129,2.35266857386541,2.45201666666667,0,0,0,0,3.0288487746601,3.12821710543487,3.14259115676587,3.21548637304767,3.216,3.22005588113701,3.27908035985879,3.28074358870657,3.28601267567858,3.37340874382667,3.45655397800998,3.54204092549089,3.55909651660692,3.61408473824861,3.64142993510354,3.7373237636156,3.73745993800437,3.741696145653,3.74478514570069,3.74656661269881,3.76165207309846,3.76601872916576,3.81613172559871,3.81467568155399,0,0,0,0,0,0,0,0,4.1135271998873,4.24976,0,0,0,0,0,7.72108023356063,7.81757664002515,8.43542422003337
"AA_1x_a_20201209.20.fid.4",0.93814478082996,0.938081104461122,0.968686313380595,0,0,0,0,0,0,0,1.65902073251642,1.66245983564854,1.68102073251642,1.72151309193484,1.89090981813148,1.88902073251642,1.89245983564854,1.95680175709166,2.03691818181818,2.06784549206682,2.1131732308399,2.1218624098071,2.19571100794896,2.2716375,2.33244285714286,2.319,2.44316666666667,0,0,0,0,3.02897074963697,3.12824609675983,3.14224556940089,3.2154671609527,3.216,3.22003903974635,3.27907418304684,3.28076357478525,3.28600277833729,3.37871100794897,3.48454851089605,3.5482576132685,3.56211628579253,3.61389725735576,3.64188177269423,3.72661783066884,3.72619180689078,3.73118075184558,3.75984391758544,3.76104470360479,3.76183333333333,3.76111465878777,3.848,3.851,3.84822710594752,3.883275,3.96155,3.961925,3.96598121683919,3.968075,3.971,4.05545,4.10627336575556,4.23348,0,0,0,0,0,7.72715298975673,7.8253,8.4509672704554
