"","L.Isoleucine_6","L..Leucine_3","L.Valine_4","L.Isoleucine_5","L.Valine_3","L.Isoleucine_4","L.Threonine_3","L.Isoleucine_3","L.Lysine_5","L.Alanine_2","L.Arginine_4","L.arginine_4","L..Leucine_2","L.Lysine_4","L.Lysine_3","L.Arginine_3","L.arginine_3","L.Isoleucine_2","L.Proline_4","L.glutamic.acid_3","L.Methionine_4","Glutamine_3","L.Methionine_3","L.Valine_2","L.Proline_3","L.glutamic.acid_2","Glutamine_2","L.Methionine_2","L.Aspartate_3","L.Aspartate_2","L.Asparagine_2","L.Lysine_2","L.Phenylalanine_4","L.Histidine_5","L.Histidine_4","L.Arginine_2","L.arginine_2","L.Phenylalanine_3","L.Tryptophan_7","L.Tryptophan_8","L.Proline_2","L.Tryptophan_6","Glycine_1","L.Threonine_2","L.Valine_1","L.Isoleucine_1","L..Leucine_1","L.Lysine_1","L.glutamic.acid_1","L.Arginine_1","Glutamine_1","L.arginine_1","L.Alanine_1","L.Serine_2","Serine_2","L.Methionine_1","L.Aspartate_1","L.Serine_1","Serine_1","L.Phenylalanine_2","L.Histidine_3","L.Asparagine_1","L.Tryptophan_5","L.Proline_1","L.Threonine_1","L.Histidine_2","L.Tryptophan_4","L.Tryptophan_3","L.Phenylalanine_1","L.Tryptophan_2","L.Tryptophan_1","L.Histidine_1","Formate_1"
"AA_1x_a_20201209.17.fid.1",69.9966776576583,19.6350078281994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4163.02405235005,4235.65322179144,0,0,0,4601.28446648328,0,0,30516.7346312049,10509.6692193344,0,0,0,0,42.9093123174422,23.1408560499753,120.587730292901,9054.30978260439,6412.41323473278,5270.91274449905,0,2152.69506177033,6.54882966318002,7.17217338994653,6.83545605553909,1.30856907440288,6.13907001434177,94.1323957923104,125.485835725599,94.121266771126,53.4026035100692,0,37.5759748173294,0,0,0,0,0,0,0,234.067477193283,716.028427204572,0,0,0,0,0,0,0,0.843974743611303,1.98332501437026,0.698481668099906,2.19029702698584
"AA_1x_a_20201209.18.fid.2",623.170802210499,241.818026079174,131.733735850498,50.2086959946178,55.2354758347424,0,57.2865365995145,0,0,4153.94274332868,0,0,0,0,0,0,0,0,0,0,3928.02615415074,4281.87153225354,0,0,0,3081.5448237547,0,61.3003649591152,41977.8716564712,11161.3391776406,0,7198.9193931819,4938.92874414918,176.177768547179,5026.34305736603,266.648961560787,3462.58651183468,5816.81050281875,4477.12111840093,5035.60991258994,0,8976.0493580633,2217.56381576802,4262.09130230649,1105.62684176172,4867.97035829678,469.911072129386,567.93666948564,514.577030282233,581.843382842204,0,0,268.448456239749,805.050634847032,448.336000545801,2820.92648234415,4328.11686314774,0,0,3.70316365414631,7.45407010748391,19.3582347709955,22.4811189752158,1.71423808920808,0,0.477420758938653,2.84736524031249,2.17580814124572,0,0.0861826302632789,0.455025964474999,0.578968846601037,26.8997285741628
"AA_1x_a_20201209.19.fid.3",4797.5249520567,4062.07711693193,36.7060912860679,9.30711725776774,267.998330014148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4280.12791950064,3430.52606900681,0,0,0,4499.0329773999,0,0,0,0,0,668.613763501551,788.681036594277,2935.59112727537,9689.53631519035,2272.58853295946,5538.56183375982,12428.2644695754,8832.91455936674,7304.59961680872,0,3129.84675375944,3787.38178991469,134.74707423047,991.730217526988,4841.05383083581,5026.26366335747,5618.18062087481,5449.18433089923,3336.91650450088,719.412013279666,0,789.667619495295,8.26492371166426,16.1546366643691,0,0,0,0,0,0,0,0,7.17727472941664,0,0,0,0,0,0,1.55300651575006,1.61810762133638,3.04488654801997
"AA_1x_a_20201209.20.fid.4",7568.66309884116,6919.17504960274,768.844598897378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7716.1640567626,7436.73877424098,0,0,0,8162.44698700144,0,0,0,0,0,850.84688691661,918.719193070627,3371.50104956702,12527.8234186201,2584.03631022464,6892.66426522128,16147.4026069969,11404.4002814692,9340.05955206903,0,7604.54540624626,6848.99065954467,7131.93262121925,291.655204844034,5683.14761302549,34.5461056930582,42.4897680291787,41.5272842881455,3.68923343006972,0,0,1.96266030144215,0.834138587003773,3.43091000128678,2.09644482354561,0,0,0,0,0,800.982393354398,0,26.7519899858866,0,0,0,0,0,0,4.17323776744536,1.11879964910922,4.57974755814207
