"","L.Isoleucine_6","L..Leucine_3","L.Valine_4","L.Isoleucine_5","L.Valine_3","L.Isoleucine_4","L.Threonine_3","L.Isoleucine_3","L.Lysine_5","L.Alanine_2","L.Arginine_4","L.arginine_4","L..Leucine_2","L.Lysine_4","L.Lysine_3","L.Arginine_3","L.arginine_3","L.Isoleucine_2","L.Proline_4","L.glutamic.acid_3","L.Methionine_4","Glutamine_3","L.Methionine_3","L.Valine_2","L.Proline_3","L.glutamic.acid_2","Glutamine_2","L.Methionine_2","L.Aspartate_3","L.Aspartate_2","L.Asparagine_2","L.Lysine_2","L.Phenylalanine_4","L.Histidine_5","L.Histidine_4","L.Arginine_2","L.arginine_2","L.Phenylalanine_3","L.Tryptophan_7","L.Tryptophan_8","L.Proline_2","L.Tryptophan_6","Glycine_1","L.Threonine_2","L.Valine_1","L.Isoleucine_1","L..Leucine_1","L.Lysine_1","L.glutamic.acid_1","L.Arginine_1","Glutamine_1","L.arginine_1","L.Alanine_1","L.Serine_2","Serine_2","L.Methionine_1","L.Aspartate_1","L.Serine_1","Serine_1","L.Phenylalanine_2","L.Histidine_3","L.Asparagine_1","L.Tryptophan_5","L.Proline_1","L.Threonine_1","L.Histidine_2","L.Tryptophan_4","L.Tryptophan_3","L.Phenylalanine_1","L.Tryptophan_2","L.Tryptophan_1","L.Histidine_1","Formate_1"
"AA_1x_a_20201209.17.fid.1",14.8510954005294,9.20814549894604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5340963053317,60.6237399222056,0,0,0,93.9626804698555,0,0,30.7984159024446,79.9147582578181,0,0,0,0,1.51963152844455,1.02833925590568,1.57856972853695,65.2352803152758,45.8814179025851,46.4776077768143,0,21.2956620662973,17.8016094737138,16.4793555849549,28.7108278574194,6.52608330762232,72.6441707353343,78.427642418906,78.9710206887638,64.6321758408483,68.9104655083005,0,50.2635335873902,0,0,0,0,0,0,0,47.6502955099167,201.840453029833,0,0,0,0,0,0,0,534.940359149282,93.7507534538624,43.4554713442851,10.0425994712178
"AA_1x_a_20201209.18.fid.2",27.1754985206406,43.6195180889436,33.6832897922759,31.4262571424439,38.3017885131066,0,27.7198663156178,0,0,74.4149207221351,0,0,0,0,0,0,0,0,0,0,41.6947488731919,40.1123435843028,0,0,0,65.4617469877564,0,2.38820571476597,32.7897965336141,95.7926609428518,0,36.4631615323,46.0137329969605,7.97473914904501,59.2907781841162,3.1992304788571,42.2475693512406,62.177306095602,51.6509529062278,57.557741336149,0,47.4191899516045,61.9154634214659,65.0876211807039,36.7328024183274,60.2214180635978,42.8614429438051,71.5141429103771,57.1126964543382,49.5451056257933,0,0,29.1480223442782,67.7949107675036,25.9729596730053,65.2235490914356,61.8822825601752,0,0,13.993495032436,22.353270444392,35.7089901914973,46.4381455431987,91.2726704981122,0,743.002520530321,87.1397217853766,-4552.169372834,0,210.601504373678,324.978597769239,67.1414329977653,28.8055737597369
"AA_1x_a_20201209.19.fid.3",95.7683868385561,84.1525581440065,20.5466872740056,8.00070137322673,78.051298865548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8541321257763,51.9221228549464,0,0,0,57.3458692309357,0,0,0,0,0,3.88040838650352,27.182126146882,38.8051242735586,61.4480375543502,14.6325335499258,39.1542404648544,66.0118549783116,46.5814767638033,47.4164566499931,0,22.8786815753399,47.5937457253338,6.42802784541647,33.2486830877601,54.6302323932617,56.4452539671167,60.3437253230393,76.3102387848595,47.1090999919706,10.53968913896,0,17.2331663536557,36.2605299310784,58.31392381482,0,0,0,0,0,0,0,0,46.9907595892969,0,0,0,0,0,0,95.7710650129252,88.4556888495309,19.0050457681907
"AA_1x_a_20201209.20.fid.4",78.2935962572493,91.4336202277522,24.0106074615647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.1654931473612,58.4659901590259,0,0,0,96.4015392779341,0,0,0,0,0,3.91134695846674,25.7088836127082,35.9541979590512,61.8442853300443,13.341872377355,40.4350959581082,66.626164783128,46.6554049434232,47.2554879248822,0,61.1845570038827,56.2250409166182,76.3236061786518,27.5305126974215,69.5092783522294,33.6100937135442,38.5658814946101,49.0726545990008,-97.849794484025,0,0,8.22583835435344,98.6337247285859,621.129878844825,63.2321246804059,0,0,0,0,0,201.185139393047,0,78.78498817239,0,0,0,0,0,0,68.3005803317517,15.8708037258823,8.40180596296798
