"","L.Isoleucine_6","L..Leucine_3","L.Valine_4","L.Isoleucine_5","L.Valine_3","L.Isoleucine_4","L.Threonine_3","L.Isoleucine_3","L.Lysine_5","L.Alanine_2","L.Arginine_4","L.arginine_4","L..Leucine_2","L.Lysine_4","L.Lysine_3","L.Arginine_3","L.arginine_3","L.Isoleucine_2","L.Proline_4","L.glutamic.acid_3","L.Methionine_4","Glutamine_3","L.Methionine_3","L.Valine_2","L.Proline_3","L.glutamic.acid_2","Glutamine_2","L.Methionine_2","L.Aspartate_3","L.Aspartate_2","L.Asparagine_2","L.Lysine_2","L.Phenylalanine_4","L.Histidine_5","L.Histidine_4","L.Arginine_2","L.arginine_2","L.Phenylalanine_3","L.Tryptophan_7","L.Tryptophan_8","L.Proline_2","L.Tryptophan_6","Glycine_1","L.Threonine_2","L.Valine_1","L.Isoleucine_1","L..Leucine_1","L.Lysine_1","L.glutamic.acid_1","L.Arginine_1","Glutamine_1","L.arginine_1","L.Alanine_1","L.Serine_2","Serine_2","L.Methionine_1","L.Aspartate_1","L.Serine_1","Serine_1","L.Phenylalanine_2","L.Histidine_3","L.Asparagine_1","L.Tryptophan_5","L.Proline_1","L.Threonine_1","L.Histidine_2","L.Tryptophan_4","L.Tryptophan_3","L.Phenylalanine_1","L.Tryptophan_2","L.Tryptophan_1","L.Histidine_1","Formate_1"
"AA_1x_a_20201209.17.fid.1",7762.56560067826,2188.60769319256,0,0,0,0,0,0,0,0,165024.068016368,568343.446285168,1352.85823540762,5548.78985059448,0,381442.187221442,615370.035607017,1577.28043272719,327567.073998576,81545.2578152958,479080.775987231,365764.788887053,1000342.69111929,523971.558441621,94740.1408660458,382552.981718561,199434.008442235,0,3477004.00713004,873842.944904816,896274.466663599,0,0,0,3569.32479504608,2564.53994866616,13377.90944337,752788.183969396,533240.961626933,438224.522942712,56298.1745308614,226019.359370392,1453.45677571221,794.873617628044,757.649101716395,145.235480780727,771.770513272848,10440,10440,10440,5923.22973673568,0,3594.36420956591,0,0,0,0,47403.8974852033,56555.589109794,0,29214.1267478542,59570.4749830176,0,0,0,0,0,0,176.649348426843,140.53166019638,228.234706602081,155,485.910905287445
"AA_1x_a_20201209.18.fid.2",69080.4367525143,26819.9194479963,14665.3820887681,5564.62991348015,6123.93775980925,107116.558591663,6541.43802171543,413161.305237583,92250.6109544155,460759,280517.621670257,432498.159293873,229970.903200456,96360.5829345933,362108.94015057,21035.4179030108,323.778542759945,75919.3131435988,102394.028025739,111429.68044823,435389.299960874,356021.738726503,403913.632391486,117320.578491263,362186.318270701,256201.104107729,89772.9091885686,6794.69488914749,3656285.97498043,935434.273626935,186526.094237342,798275.007328681,410835.607918853,14650.7752559163,426589.781487703,29559.2361417069,383714.312608803,483697.131855599,372294.784166635,418683.097848316,197488.870933793,746704.42514251,492019.311162299,472607.713876507,130128.74882558,563866.084974479,52129.4482490748,63001.5410481332,42798.9176047425,64542.6,0,0,22327.7762290941,66993.5876399696,37283.8657352553,261554.06935341,359826.328075263,301.654704763368,447.586522793775,308.094713283399,619.840868941298,1610.20184466753,1869.91488190409,142.817400290745,0,122.895,315.738,271.057,48.0937266412682,14.3183730520477,62.2952827245892,154.784395975268,5967.81251921531
"AA_1x_a_20201209.19.fid.3",592823.431230917,633508.044177478,4066.51644101579,1031.752514771,36946.8905093234,0,0,0,0,0,0,0,0,0,0,0,0,0,1668.26944028749,394897.586898878,474455.266400428,313092.535662173,68809.080358143,804996.460964325,380246.050124789,374191.950997934,113017.231317977,0,0,0,0,74150.0983731828,65575.0605717531,282938.491310144,927238.53033329,251951.758675117,762577.490350044,1033303.30084703,734531.341999342,607309.773032152,236253.054039553,335519.457570619,839670.882931239,14937.8342406332,156994.897228555,541316.884820627,562012.421586483,623224.060870318,453253.99983061,415686.242165034,79819.7838079434,0,79574.9221202361,738.788180434892,1343.63071842902,0,0,0,0,0,0,0,0,597.251855162893,1287.65717939567,0,0,0,0,0,199.411628895965,359.007195352197,675.35492697269
"AA_1x_a_20201209.20.fid.4",839230.849554833,767275.042385736,103397.522662132,0,0,0,0,0,0,0,299429.777758196,1031237.16350645,6719.98051231774,281977.441480849,820462.443696044,230024.1732722,792204.027799457,8855.89336106181,591249.852670644,887903.058319353,887758.162652863,618271.179345395,206695.52909676,923598.116140347,167969.600554025,678629.729533683,142189.987994228,0,0,0,0,94357.1798163307,76384.8205869369,309213.498177576,1199816.59218732,297733.889200262,1145196.4729875,1342517.15892778,948368.922764441,776541.853340095,101266.937074251,644249.062170433,1519527.94094315,790961.176229841,36631.9248616579,696900.019332181,3832.99985554682,4713.02005318907,3687.95415504417,612,0,0,244.862591457643,104.102232282052,427.547005348677,261.552353321378,0,52761.6632560175,61936.6690078117,0,0,66636.4465736424,0,2263.43997760444,0,0,0,0,0,0,462.661953918003,372,1015.99655883322
