"","L.Isoleucine_6","L..Leucine_3","L.Valine_4","L.Isoleucine_5","L.Valine_3","L.Isoleucine_4","L.Threonine_3","L.Isoleucine_3","L.Lysine_5","L.Alanine_2","L.Arginine_4","L.arginine_4","L..Leucine_2","L.Lysine_4","L.Lysine_3","L.Arginine_3","L.arginine_3","L.Isoleucine_2","L.Proline_4","L.glutamic.acid_3","L.Methionine_4","Glutamine_3","L.Methionine_3","L.Valine_2","L.Proline_3","L.glutamic.acid_2","Glutamine_2","L.Methionine_2","L.Aspartate_3","L.Aspartate_2","L.Asparagine_2","L.Lysine_2","L.Phenylalanine_4","L.Histidine_5","L.Histidine_4","L.Arginine_2","L.arginine_2","L.Phenylalanine_3","L.Tryptophan_7","L.Tryptophan_8","L.Proline_2","L.Tryptophan_6","Glycine_1","L.Threonine_2","L.Valine_1","L.Isoleucine_1","L..Leucine_1","L.Lysine_1","L.glutamic.acid_1","L.Arginine_1","Glutamine_1","L.arginine_1","L.Alanine_1","L.Serine_2","Serine_2","L.Methionine_1","L.Aspartate_1","L.Serine_1","Serine_1","L.Phenylalanine_2","L.Histidine_3","L.Asparagine_1","L.Tryptophan_5","L.Proline_1","L.Threonine_1","L.Histidine_2","L.Tryptophan_4","L.Tryptophan_3","L.Phenylalanine_1","L.Tryptophan_2","L.Tryptophan_1","L.Histidine_1","Formate_1"
"AA_1x_a_20201209.17.fid.1",1.68,1.67166498926277,0,0,0,0,0,0,0,0,1.40594068886712,1.28238600512966,1.48467593500391,1.66086746891961,0,1.26803715785965,1.54712983960286,1.48467593500391,1.3283893837966,1.48467593500391,1.61775993033353,1.6173716465219,1.26803715785965,1.3283893837966,1.44106274750084,1.68,1.56780845627189,0,1.22700736972269,1.68,1.2844941827096,0,0,0,1.68,1.68,1.68,1.68,1.68,1.68,1.64786817012355,1.33116549490268,1.68,1.68,1.68,1.68,1.48123353507135,1.68,1.68,1.68,1.68,1.21887178141624,1.45949953213994,1.3283893837966,1.3283893837966,1.3283893837966,1.3283893837966,1.3283893837966,1.3283893837966,1.12,1.12,1.68,1.3283893837966,0,0,0,0,1.12,1.3283893837966,1.12,1.61824854044223,1.68,1.68
"AA_1x_a_20201209.18.fid.2",1.68,1.68,1.67287195975644,1.68,1.68,1.33556771676987,1.63175524603717,1.3283893837966,1.63345043372363,1.68,1.56780845627189,1.64207109542564,1.26803715785965,1.65602563958615,1.66086746891961,1.44079788347706,1.49004676379263,1.33556771676987,1.23598665090278,1.33556771676987,1.68,1.68,1.65602563958615,1.44079788347706,1.37206236137077,1.68,1.44106274750084,1.68,1.60467231408117,1.66658759911731,1.33556771676987,1.68,1.68,1.68,1.64533430403185,1.68,1.68,1.68,1.68,1.68,1.65602563958615,1.68,1.68,1.68,1.58207840686367,1.60783406481517,1.68,1.68,1.68,1.68,1.49004676379263,1.50473279412836,1.68,1.68,1.68,1.50713665065661,1.68,1.33556771676987,1.40594068886712,1.68,1.68,1.68,1.68,1.67814829545128,1.3283893837966,1.44807933240095,1.68,1.12,1.3283893837966,1.12,1.36086197723994,1.39531964121594,1.68
"AA_1x_a_20201209.19.fid.3",1.50791671638834,1.19430049900546,1.68,1.68,1.350708938868,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38222732812166,1.33556771676987,1.68,1.53082245544788,1.64786817012355,1.3283893837966,1.56780845627189,1.68,1.44106274750084,0,0,0,0,1.68,1.68,1.44861311260544,1.45905123479409,1.68,1.35181124400367,1.68,1.68,1.68,1.63345043372363,1.30378217373283,1.68,1.68,1.17515031158725,1.66564979321524,1.6669938524033,1.68,1.68,1.49570770647275,1.68,1.21887178141624,1.38638507002042,1.56376648369255,1.68,0,0,0,0,0,0,0,0,1.68,1.3283893837966,0,0,0,0,0,1.45130405931048,1.68,1.68
"AA_1x_a_20201209.20.fid.4",1.68,1.68,1.38419603791548,0,0,0,0,0,0,0,1.40594068886712,1.28238600512966,1.40594068886712,1.65602563958615,1.18479075610638,1.40594068886712,1.28238600512966,1.66121688993648,1.3283893837966,1.33819528898224,1.61860963704607,1.68,1.64786817012355,1.3283893837966,1.44106274750084,1.68,1.44106274750084,0,0,0,0,1.68,1.68,1.52256172145688,1.45787253275511,1.61657119369482,1.12,1.68,1.68,1.68,1.64786817012355,1.64903729827801,1.68,1.68,1.48217157664583,1.5196493178388,1.68,1.68,1.57331240509836,1.12,1.49004676379263,1.50473279412836,1.12,1.12,1.12,1.12,1.3283893837966,1.3283893837966,1.3283893837966,1.12,1.12,1.68,1.3283893837966,1.65136331290047,1.3283893837966,0,0,0,0,0,1.68,1.12,1.68
