"","L.Isoleucine_6","L..Leucine_3","L.Valine_4","L.Isoleucine_5","L.Valine_3","L.Isoleucine_4","L.Threonine_3","L.Isoleucine_3","L.Lysine_5","L.Alanine_2","L.Arginine_4","L.arginine_4","L..Leucine_2","L.Lysine_4","L.Lysine_3","L.Arginine_3","L.arginine_3","L.Isoleucine_2","L.Proline_4","L.glutamic.acid_3","L.Methionine_4","Glutamine_3","L.Methionine_3","L.Valine_2","L.Proline_3","L.glutamic.acid_2","Glutamine_2","L.Methionine_2","L.Aspartate_3","L.Aspartate_2","L.Asparagine_2","L.Lysine_2","L.Phenylalanine_4","L.Histidine_5","L.Histidine_4","L.Arginine_2","L.arginine_2","L.Phenylalanine_3","L.Tryptophan_7","L.Tryptophan_8","L.Proline_2","L.Tryptophan_6","Glycine_1","L.Threonine_2","L.Valine_1","L.Isoleucine_1","L..Leucine_1","L.Lysine_1","L.glutamic.acid_1","L.Arginine_1","Glutamine_1","L.arginine_1","L.Alanine_1","L.Serine_2","Serine_2","L.Methionine_1","L.Aspartate_1","L.Serine_1","Serine_1","L.Phenylalanine_2","L.Histidine_3","L.Asparagine_1","L.Tryptophan_5","L.Proline_1","L.Threonine_1","L.Histidine_2","L.Tryptophan_4","L.Tryptophan_3","L.Phenylalanine_1","L.Tryptophan_2","L.Tryptophan_1","L.Histidine_1","Formate_1"
"AA_1x_a_20201209.17.fid.1",0.136798262078611,0.147488433528358,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.194115677347566,0.253953380662842,100,100,100,0.268555881183392,100,100,0.131050871487294,0.240781557465745,100,100,100,100,0.144414945221817,0.185278211316117,0.146279970425658,0.134251149692319,0.186866335973315,0.22438090519388,100,0.298587843332359,0.122602991946294,0.0945784715901276,0.178242057855311,0.081952472232026,0.231385919227991,0.564568497767827,0.260068560992556,0.408722251274605,0.491137080557861,100,0.272342342653398,100,100,100,100,100,100,100,0.456415649479378,45.5671012097468,100,100,100,100,100,100,100,0.355512812026952,0.208013128665765,0.312748740858752,0.0424856567298321
"AA_1x_a_20201209.18.fid.2",0.250551848844177,0.145200344123092,0.206450724333362,0.0891312316261976,0.114760042404512,100,0.181774819597549,100,100,0.209962448196422,100,100,100,100,100,100,100,100,100,100,0.26391967869636,0.306753197055944,100,100,100,0.221589360748464,100,0.236835756017646,0.145445009970307,0.0862504820514389,100,0.252052949472455,0.235642917662583,0.20449484732322,0.292713825247255,0.25364852857868,0.293165233599923,0.208319453572777,0.232329500921781,0.277098325776342,100,0.276943789919538,0.0642628294117219,0.154164145674361,0.268894247978236,0.0837797651452505,0.232371377606853,0.157702600993738,0.109291210684446,0.22271489475415,100,100,0.255253424983627,0.21869854876224,0.229794412026354,0.143475673806721,0.206446937628854,100,100,0.0956600907015632,0.131211106198075,0.220731946795002,0.21638365154599,0.328591478976445,100,0.53125899865403,0.162906793347548,0.247962268004838,100,0.844980969354408,0.447838287346677,0.208040641038354,0.0788208946451424
"AA_1x_a_20201209.19.fid.3",0.164136240024881,0.124697120847017,0.206284279773062,4.02994487167105e-15,0.162890906116532,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.271451492766209,0.220206189846008,100,100,100,0.288082738180003,100,100,100,100,100,0.171691568601871,0.16018213800471,0.23803861634791,0.226917756892138,0.192689717998877,0.236239756507934,0.133353694590768,0.186942146211914,0.228077946619929,100,0.322457904881736,0.225010212079597,0.198243886940142,0.243328809657013,0.137295127867006,0.239458732637315,0.210704781631128,0.115995968021095,0.233461038528889,0.187076611271729,100,0.250725633734998,0.116097718275633,0.294921160353109,100,100,100,100,100,100,100,100,0.103348199251524,100,100,100,100,100,100,0.460830684835734,0.269728179860455,0.0986457363821063
"AA_1x_a_20201209.20.fid.4",0.237853668720476,0.236870747799792,0.223194487518122,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.20538618388086,0.255604123197539,100,100,100,0.269260708891439,100,100,100,100,100,0.171242226089132,0.161268332036684,0.237047477192451,0.225921373960896,0.185899950178225,0.249154433876757,0.134491368284177,0.186856343724027,0.228245634617553,100,0.219632081129876,0.169014261924855,0.190646643652147,0.245883392949419,0.141443391234806,0.11268656483236,0.203193244070775,0.218323660764637,0.41177417423542,100,100,0.233317237189307,0.230877350527953,0.691209190894283,0.229401675502734,100,100,100,100,100,74.6087241309181,100,0.204775852487488,100,100,100,100,100,100,0.188270458122599,0.268968706265965,0.0426947615258123
